Stock ticker,Stock name,Last price of stock,Stock change,Stock percentage change,Volume,Average volume over 3 months,Market cap,PE ratio
SCHW,The Charles Schwab Corporation,70.34,-1.38,-1.92%,5968000,7765000,133441000000,23.06
CHWY,Chewy Inc.,32.75,-1.12,-3.31%,6121000,5158000,13775000000,N/A
QCOM,QUALCOMM Incorporated,128.48,-1.44,-1.11%,6121000,8236000,144283000000,11.39
COP,ConocoPhillips,110.26,+2.73,+2.54%,5917000,7712000,140364000000,9.10
KEY,KeyCorp,17.55,-0.13,-0.74%,6624000,9491000,16367999999,7.70
USB,U.S. Bancorp,45.55,-0.32,-0.70%,5474000,6349000,67677000000,10.50
CVNA,Carvana Co.,31.58,-1.20,-3.66%,5914000,11109000,5609000000,N/A
BSX,Boston Scientific Corporation,40.49,-0.50,-1.22%,4421000,7439000,57966000000,71.04
ON,ON Semiconductor Corporation,67.51,-0.71,-1.04%,6662000,9778000,29248000000,17.67
QS,QuantumScape Corporation,10.01,-0.50,-4.76%,5442000,6448000,4331000000,N/A
WMT,Walmart Inc.,133.0,-1.48,-1.10%,5619000,8350000,364573000000,26.60
UAA,Under Armour Inc.,8.28,-0.04,-0.48%,5660000,7763000,3558000000,17.25
NEE,NextEra Energy Inc.,85.11,-1.15,-1.33%,5714000,7771000,167222000000,65.47
COMM,CommScope Holding Company Inc.,12.69,+0.68,+5.66%,5690000,3726000,2642000000,N/A
SNOW,Snowflake Inc.,171.49,-1.66,-0.96%,5604000,7209000,54551000000,N/A
CTRA,Coterra Energy Inc.,30.11,-0.12,-0.40%,5490000,9571000,23955000000,7.22
SHEL,Shell plc,53.23,+0.83,+1.58%,5583000,5164000,197139000000,5.64
EXC,Exelon Corporation,44.08,-0.37,-0.83%,6747000,6181000,43792000000,24.09
AMAT,Applied Materials Inc.,91.24,-0.57,-0.62%,6794000,7325000,78495000000,12.21
STNE,StoneCo Ltd.,8.9,-0.29,-3.16%,5559000,8064999,2779000000,N/A
AR,Antero Resources Corporation,39.52,+0.65,+1.67%,5449000,7951000,12098000000,13.67
IQ,iQIYI Inc.,3.53,-0.1800,-4.85%,5538000,10824000,3040000000,N/A
CVS,CVS Health Corporation,99.44,-0.49,-0.49%,5308000,4750000,130548000000,16.20
PPL,PPL Corporation,28.94,-0.34,-1.16%,5332000,5316000,21305000000,29.23
U,Unity Software Inc.,40.79,-0.48,-1.16%,5353000,9605000,12162000000,N/A
KOS,Kosmos Energy Ltd.,6.8,+0.20,+3.03%,5730000,7520000,3100000000,17.44
RYCEY,Rolls-Royce Holdings plc,0.891,+0.0225,+2.59%,5353000,4322000,7456000000,44.55
HL,Hecla Mining Company,3.9,+0.1500,+4.00%,5296000,6587000,2112000000,130.00
EQT,EQT Corporation,47.28,+0.97,+2.09%,5159000,7080000,17492000000,N/A
BA,The Boeing Company,151.82,-1.84,-1.20%,5082000,8689000,90152000000,N/A
INFY,Infosys Limited,18.09,-0.33,-1.79%,5206000,8319000,75812000000,26.22
BKR,Baker Hughes Company,25.28,+0.68,+2.76%,5967000,9671000,25754000000,63.20
PSLV,Sprott Physical Silver Trust,6.31,+0.06,+0.96%,5199000,3419000,2858000000,63.10
TDOC,Teladoc Health Inc.,30.18,-0.62,-2.01%,5174000,5307000,4879000000,N/A
